2024-10-30 14:48:22 | INFO | books2:<module>:5 | Starting Books API...
2024-10-30 14:48:36 | INFO | books2:read_all_books:53 | Retrieving all books
2024-10-30 14:49:26 | INFO | books2:<module>:5 | Starting Books API...
2024-10-30 14:50:06 | INFO | books2:create_book:58 | Creating new book with details: id=11 title='Book 11' author='Author 11' description='Description 11' rating=1 pages=160 year=2009 genre='Genre 11' publisher='Publisher 11' language='Language 11' price=14.99
2024-10-30 14:50:06 | INFO | books2:create_book:62 | Successfully created book with ID: 11
2024-10-30 15:16:14 | INFO | books2:<module>:5 | Starting Books API...
2024-10-30 15:16:50 | INFO | books2:<module>:5 | Starting Books API...
2024-10-30 15:16:55 | INFO | books2:create_book:60 | Creating new book with details: id=11 title='Book 11' author='Author 11' description='Description 11' rating=1 pages=160 year=2009 genre='Genre 11' publisher='Publisher 11' language='Language 11' price=14.99
2024-10-30 15:16:55 | INFO | books2:create_book:64 | Successfully created book with ID: 11
2024-10-30 15:18:36 | INFO | books2:<module>:5 | Starting Books API...
2024-10-30 15:19:53 | INFO | books2:<module>:5 | Starting Books API...
2024-10-30 15:21:11 | INFO | books2:<module>:5 | Starting Books API...
2024-10-30 15:21:30 | INFO | books2:create_book:64 | Creating new book with details: id=1 title='Book 11' author='Author 11' description='Description 11' rating=1 pages=160 year=2009 genre='Genre 11' publisher='Publisher 11' language='Language 11' price=14.99
2024-10-30 15:21:30 | INFO | books2:create_book:68 | Successfully created book with ID: 11
2024-10-30 15:23:23 | INFO | books2:<module>:6 | Starting Books API...
2024-10-30 15:23:35 | INFO | books2:create_book:65 | Creating new book with details: id=1 title='Book 11' author='Author 11' description='Description 11' rating=1 pages=160 year=2009 genre='Genre 11' publisher='Publisher 11' language='Language 11' price=14.99
2024-10-30 15:23:35 | INFO | books2:create_book:69 | Successfully created book with ID: 11
2024-10-30 15:23:52 | INFO | books2:create_book:65 | Creating new book with details: id=None title='Book 11' author='Author 11' description='Description 11' rating=1 pages=160 year=2009 genre='Genre 11' publisher='Publisher 11' language='Language 11' price=14.99
2024-10-30 15:23:52 | INFO | books2:create_book:69 | Successfully created book with ID: 12
2024-10-30 15:26:33 | INFO | books2:<module>:6 | Starting Books API...
2024-10-30 15:28:33 | INFO | books2:<module>:6 | Starting Books API...
2024-10-30 15:57:46 | INFO | books2:<module>:6 | Starting Books API...
2024-10-30 15:58:32 | INFO | books2:find_book_by_title:90 | Finding book with title: Book 1
2024-10-30 15:58:32 | INFO | books2:find_book_by_title:93 | Found book with title: Book 1
2024-10-30 16:03:56 | INFO | books2:<module>:6 | Starting Books API...
2024-10-30 16:04:12 | INFO | books2:find_book_by_rating:111 | Finding books with rating between 4 and 5
2024-10-30 16:04:12 | INFO | books2:find_book_by_rating:113 | Found 4 books with rating between 4 and 5
2024-10-30 16:04:53 | INFO | books2:find_book_by_rating:111 | Finding books with rating between 5 and 5
2024-10-30 16:04:53 | INFO | books2:find_book_by_rating:113 | Found 2 books with rating between 5 and 5
2024-10-30 16:06:52 | INFO | books2:<module>:6 | Starting Books API...
2024-10-30 16:48:46 | INFO | books2:<module>:6 | Starting Books API...
2024-10-30 16:49:28 | INFO | books2:update_book:126 | Updating book with ID: 11
2024-10-30 16:50:13 | INFO | books2:retrieve_all_books:76 | Retrieving all books
2024-10-30 16:52:59 | INFO | books2:<module>:6 | Starting Books API...
2024-10-30 16:53:16 | INFO | books2:delete_book:136 | Deleting book with ID: 3
2024-10-30 16:54:02 | INFO | books2:<module>:6 | Starting Books API...
2024-10-30 16:54:22 | INFO | books2:delete_book:136 | Deleting book with ID: 3
2024-10-30 16:54:22 | INFO | books2:delete_book:140 | Successfully deleted book with ID: 3
2024-10-30 16:54:36 | INFO | books2:retrieve_all_books:76 | Retrieving all books
2024-10-30 16:59:18 | INFO | books2:<module>:6 | Starting Books API...
2024-10-30 16:59:41 | INFO | books2:find_book_by_title:92 | Finding book with title: Location 1
2024-10-30 16:59:41 | INFO | books2:find_book_by_title:97 | Book with title: Location 1 not found
2024-10-30 17:00:21 | INFO | books2:find_book_by_title:92 | Finding book with title: Location 9
2024-10-30 17:00:21 | INFO | books2:find_book_by_title:97 | Book with title: Location 9 not found
2024-10-30 17:01:13 | INFO | books2:find_book_by_title:92 | Finding book with title: Location 9
2024-10-30 17:01:13 | INFO | books2:find_book_by_title:97 | Book with title: Location 9 not found
